編號,行政區,商家名稱,入選品名,商家地址,相關網站,營業時間,經緯度座標,備註
1,二崙鄉,Thubders 閃電甜點,阿露斯哈密瓜裸蛋糕,649雲林縣二崙鄉崙東村民族路152號,https://www.facebook.com/thunder.dessert,週一與週日11:30–18:00/週二至六11:30–18:30,"23.769014, 120.415430",
2,口湖鄉,第一鰻波,邪惡鰻魚飯,653雲林縣口湖鄉埔南村外埔路1-2號,https://www.firstmanpower.tw/,週二至週日09:00–17:00(週一休),"23.597365, 120.190128",
3,口湖鄉,第一鰻波,香酥鰻魚和風沙拉,653雲林縣口湖鄉埔南村外埔路1-2號,https://www.firstmanpower.tw/,週二至週日09:00–17:00(週一休),"23.597365, 120.190128",
4,口湖鄉,第一鰻波,胭脂鰻,653雲林縣口湖鄉埔南村外埔路1-2號,https://www.firstmanpower.tw/,週二至週日09:00–17:00(週一休),"23.597365, 120.190128",
5,口湖鄉,第一鰻波,鰻魚山藥養生湯,653雲林縣口湖鄉埔南村外埔路1-2號,https://www.firstmanpower.tw/,週二至週日09:00–17:00(週一休),"23.597365, 120.190128",
6,口湖鄉,第一鰻波,鰻魚起司燒,653雲林縣口湖鄉埔南村外埔路1-2號,https://www.firstmanpower.tw/,週二至週日09:00–17:00(週一休),"23.597365, 120.190128",
7,土庫鎮,古早味雙糕潤,雙糕潤,633雲林縣土庫鎮順天里中山路45號,https://www.facebook.com/profile.php?id=100057285189330,週二至週日07:00–16:00(週一休),"23.674026, 120.389176",地址原缺門牌，已補齊
8,土庫鎮,怪人花枝鱔魚麵,花枝麵,633雲林縣土庫鎮宮北里中正路105號,https://www.facebook.com/profile.php?id=100063878030635,週二至週日09:30–19:30(週一休),"23.676285, 120.390610",依實際地標修正為中正路
9,土庫鎮,阿海師鴨肉麵線,當歸鴨肉麵線,633雲林縣土庫鎮中正路137號,https://www.aha-shi.com.tw/,週一至週日 07:30–19:00,"23.676008, 120.390892",
10,土庫鎮,許家紅龜,紅龜粿,633雲林縣土庫鎮中正路142號,無,週一至週日 07:00–13:30,"23.676053, 120.390582",依實際地標修正地址
11,斗六市,一品香火鍋,特製沙茶,640雲林縣斗六市大同路270號,https://www.facebook.com/YI.PIN.XIANG.HotPot.DouLiu/,"11:00–14:00, 17:00–21:00","23.704944, 120.540702",
12,斗六市,二吉軒豆漿,燒餅油條,640雲林縣斗六市成功路300號,https://www.facebook.com/ErJiXuanDouJiang/,15:30–隔日10:30,"23.698379, 120.540455",
13,斗六市,八條紅燒牛肉麵,紅燒牛肉麵,640雲林縣斗六市中正路110號,https://ba-tiao.com/,"11:00–14:00, 16:30–20:00","23.708170, 120.544520",
14,斗六市,大頭蔥肉麵,蔥肉麵,640雲林縣斗六市西平路191號,https://www.facebook.com/profile.php?id=100063943922370,06:00–13:30 (週四五休),"23.712613, 120.536648",
15,斗六市,小吉咖哩,嫩雞咖哩飯,640雲林縣斗六市城頂街99號,https://www.facebook.com/xiaojicurry/,"11:00–14:00, 17:00–20:00","23.708891, 120.540671",
16,斗六市,千八料亭,日式便當,640雲林縣斗六市文化路64-12號,https://www.facebook.com/p/%E5%8D%83%E5%85%AB%E6%96%99%E4%BA%AD-100063768481414/,"11:00–14:00, 17:00–21:00","23.707765, 120.551381",
17,斗六市,斗六東市羊肉,羊肉米糕,640雲林縣斗六市中華路115號,https://www.facebook.com/p/%E6%9D%B1%E5%B8%82%E7%BE%8A%E8%82%89-100057434316044/,15:30–23:30,"23.708682, 120.543590",
18,斗六市,巴厘島風情餐廳,印尼炒飯,640雲林縣斗六市中堅西路222號,https://www.facebook.com/BaliBreezeRestaurant/,"11:30–14:30, 17:30–20:30 (週二休)","23.699705, 120.533224",
19,斗六市,凹凸咖啡館,香草焦糖布丁,640雲林縣斗六市府前街68號,http://www.a-u-t-u.com.tw/,11:30–18:00 (週二休),"23.706786, 120.541315",
20,斗六市,凹凸咖啡館,夏日芒果可拿滋,640雲林縣斗六市府前街68號,http://www.a-u-t-u.com.tw/,11:30–18:00 (週二休),"23.706786, 120.541315",
21,斗六市,早點見面,芝麻核桃三明治,640雲林縣斗六市文化路118號,https://www.facebook.com/profile.php?id=100066585141012,07:00–15:00 (週一二休),"23.709971, 120.548480",
22,斗六市,品坊甜點專賣,天使蛋糕,640雲林縣斗六市成功二街25號,無,09:00–18:00 (週日休),"23.696781, 120.539820",
23,斗六市,阿李媽媽豆奶酪,原味豆奶酪,640雲林縣斗六市自強街81號,https://www.facebook.com/AliMaMaDouNaiLuo/,10:30–20:30,"23.699923, 120.540134",更新最新地址為自強街81號
24,斗六市,阿義羊肉店,沙茶羊肉,640雲林縣斗六市雲林路一段22號,無,06:00–14:00,"23.712613, 120.543415",
25,斗六市,桃姐專業煲湯,清燉當歸山藥鍋,640雲林縣斗六市民生南路159號,https://www.facebook.com/profile.php?id=100063991054366,"11:00–14:00, 17:00–22:00 (週一休)","23.704255, 120.540540",已遷至民生南路159號
26,斗六市,桃姐專業煲湯,煎麻油蛋麵線,640雲林縣斗六市民生南路159號,https://www.facebook.com/profile.php?id=100063991054366,"11:00–14:00, 17:00–22:00 (週一休)","23.704255, 120.540540",已遷至民生南路159號
27,斗六市,耕雲軒港式餐廳,三好蔥香麵包雞,640雲林縣斗六市斗六五路35號3樓,http://www.sunhaohotel.com.tw/,"11:30–14:00, 17:30–21:00","23.705126, 120.528430",
28,斗六市,深海深美食,土魠魚羹,640雲林縣斗六市中正路143號,https://deepseadeep.com.tw/,"10:30–14:00, 16:00–20:00 (週一休)","23.706219, 120.544632",
29,斗六市,斗六釣魚台海鮮餐廳,招牌海味米粉湯,640雲林縣斗六市南揚街12號,https://www.facebook.com/profile.php?id=100057398150482,"11:00–14:00, 17:00–21:00 (週一二休)","23.701147, 120.543168",最新地址為南揚街12號
