編號,行政區,商家名稱,入選品名,商家地址,X,Y,相關網站,營業時間,經緯度座標,推薦來源,備註
1,二崙鄉,Thubders 閃電甜點,阿露斯哈密瓜裸蛋糕,649雲林縣二崙鄉崙東村民族路152號,120.415430,23.769014,https://www.facebook.com/thunder.dessert,週一與週日11:30–18:00/週二至六11:30–18:30,"23.769014, 120.415430",雲林100碗,
2,口湖鄉,第一鰻波,邪惡鰻魚飯,653雲林縣口湖鄉埔南村外埔路1-2號,120.190128,23.597365,https://www.firstmanpower.tw/,週二至週日09:00–17:00(週一休),"23.597365, 120.190128",雲林100碗,
3,口湖鄉,第一鰻波,香酥鰻魚和風沙拉,653雲林縣口湖鄉埔南村外埔路1-2號,120.190128,23.597365,https://www.firstmanpower.tw/,週二至週日09:00–17:00(週一休),"23.597365, 120.190128",雲林100碗,
4,口湖鄉,第一鰻波,胭脂鰻,653雲林縣口湖鄉埔南村外埔路1-2號,120.190128,23.597365,https://www.firstmanpower.tw/,週二至週日09:00–17:00(週一休),"23.597365, 120.190128",雲林100碗,
5,口湖鄉,第一鰻波,鰻魚山藥養生湯,653雲林縣口湖鄉埔南村外埔路1-2號,120.190128,23.597365,https://www.firstmanpower.tw/,週二至週日09:00–17:00(週一休),"23.597365, 120.190128",雲林100碗,
6,口湖鄉,第一鰻波,鰻魚起司燒,653雲林縣口湖鄉埔南村外埔路1-2號,120.190128,23.597365,https://www.firstmanpower.tw/,週二至週日09:00–17:00(週一休),"23.597365, 120.190128",雲林100碗,
7,土庫鎮,古早味雙糕潤,雙糕潤,633雲林縣土庫鎮順天里中山路45號,120.389176,23.674026,https://www.facebook.com/profile.php?id=100057285189330,週二至週日07:00–16:00(週一休),"23.674026, 120.389176",雲林100碗,地址原缺門牌，已補齊
8,土庫鎮,怪人花枝鱔魚麵,花枝麵,633雲林縣土庫鎮宮北里中正路105號,120.390610,23.676285,https://www.facebook.com/profile.php?id=100063878030635,週二至週日09:30–19:30(週一休),"23.676285, 120.390610",雲林100碗,依實際地標修正為中正路
9,土庫鎮,阿海師鴨肉麵線,當歸鴨肉麵線,633雲林縣土庫鎮中正路137號,120.390892,23.676008,https://www.aha-shi.com.tw/,週一至週日 07:30–19:00,"23.676008, 120.390892",雲林100碗,
10,土庫鎮,許家紅龜,紅龜粿,633雲林縣土庫鎮中正路142號,120.390582,23.676053,無,週一至週日 07:00–13:30,"23.676053, 120.390582",雲林100碗,依實際地標修正地址
11,斗六市,一品香火鍋,特製沙茶,640雲林縣斗六市大同路270號,120.540702,23.704944,https://www.facebook.com/YI.PIN.XIANG.HotPot.DouLiu/,"11:00–14:00, 17:00–21:00","23.704944, 120.540702",雲林100碗,
12,斗六市,二吉軒豆漿,燒餅油條,640雲林縣斗六市成功路300號,120.540455,23.698379,https://www.facebook.com/ErJiXuanDouJiang/,15:30–隔日10:30,"23.698379, 120.540455",雲林100碗,
13,斗六市,八條紅燒牛肉麵,紅燒牛肉麵,640雲林縣斗六市中正路110號,120.544520,23.708170,https://ba-tiao.com/,"11:00–14:00, 16:30–20:00","23.708170, 120.544520",雲林100碗,
14,斗六市,大頭蔥肉麵,蔥肉麵,640雲林縣斗六市西平路191號,120.536648,23.712613,https://www.facebook.com/profile.php?id=100063943922370,06:00–13:30 (週四五休),"23.712613, 120.536648",雲林100碗,
15,斗六市,小吉咖哩,嫩雞咖哩飯,640雲林縣斗六市城頂街99號,120.540671,23.708891,https://www.facebook.com/xiaojicurry/,"11:00–14:00, 17:00–20:00","23.708891, 120.540671",雲林100碗,
16,斗六市,千八料亭,日式便當,640雲林縣斗六市文化路64-12號,120.551381,23.707765,https://www.facebook.com/p/%E5%8D%83%E5%85%AB%E6%96%99%E4%BA%AD-100063768481414/,"11:00–14:00, 17:00–21:00","23.707765, 120.551381",雲林100碗,
17,斗六市,斗六東市羊肉,羊肉米糕,640雲林縣斗六市中華路115號,120.543590,23.708682,https://www.facebook.com/p/%E6%9D%B1%E5%B8%82%E7%BE%8A%E8%82%89-100057434316044/,15:30–23:30,"23.708682, 120.543590",雲林100碗,
18,斗六市,巴厘島風情餐廳,印尼炒飯,640雲林縣斗六市中堅西路222號,120.533224,23.699705,https://www.facebook.com/BaliBreezeRestaurant/,"11:30–14:30, 17:30–20:30 (週二休)","23.699705, 120.533224",雲林100碗,
19,斗六市,凹凸咖啡館,香草焦糖布丁,640雲林縣斗六市府前街68號,120.541315,23.706786,http://www.a-u-t-u.com.tw/,11:30–18:00 (週二休),"23.706786, 120.541315",雲林100碗,
20,斗六市,凹凸咖啡館,夏日芒果可拿滋,640雲林縣斗六市府前街68號,120.541315,23.706786,http://www.a-u-t-u.com.tw/,11:30–18:00 (週二休),"23.706786, 120.541315",雲林100碗,
21,斗六市,早點見面,芝麻核桃三明治,640雲林縣斗六市文化路118號,120.548480,23.709971,https://www.facebook.com/profile.php?id=100066585141012,07:00–15:00 (週一二休),"23.709971, 120.548480",雲林100碗,
22,斗六市,品坊甜點專賣,天使蛋糕,640雲林縣斗六市成功二街25號,120.539820,23.696781,無,09:00–18:00 (週日休),"23.696781, 120.539820",雲林100碗,
23,斗六市,阿李媽媽豆奶酪,原味豆奶酪,640雲林縣斗六市自強街81號,120.540134,23.699923,https://www.facebook.com/AliMaMaDouNaiLuo/,10:30–20:30,"23.699923, 120.540134",雲林100碗,更新最新地址為自強街81號
24,斗六市,阿義羊肉店,沙茶羊肉,640雲林縣斗六市雲林路一段22號,120.543415,23.712613,無,06:00–14:00,"23.712613, 120.543415",雲林100碗,
25,斗六市,桃姐專業煲湯,清燉當歸山藥鍋,640雲林縣斗六市民生南路159號,120.540540,23.704255,https://www.facebook.com/profile.php?id=100063991054366,"11:00–14:00, 17:00–22:00 (週一休)","23.704255, 120.540540",雲林100碗,已遷至民生南路159號
26,斗六市,桃姐專業煲湯,煎麻油蛋麵線,640雲林縣斗六市民生南路159號,120.540540,23.704255,https://www.facebook.com/profile.php?id=100063991054366,"11:00–14:00, 17:00–22:00 (週一休)","23.704255, 120.540540",雲林100碗,已遷至民生南路159號
27,斗六市,耕雲軒港式餐廳,三好蔥香麵包雞,640雲林縣斗六市斗六五路35號3樓,120.528430,23.705126,http://www.sunhaohotel.com.tw/,"11:30–14:00, 17:30–21:00","23.705126, 120.528430",雲林100碗,
28,斗六市,深海深美食,土魠魚羹,640雲林縣斗六市中正路143號,120.544632,23.706219,https://deepseadeep.com.tw/,"10:30–14:00, 16:00–20:00 (週一休)","23.706219, 120.544632",雲林100碗,
29,斗六市,斗六釣魚台海鮮餐廳,招牌海味米粉湯,640雲林縣斗六市南揚街12號,120.543168,23.701147,https://www.facebook.com/profile.php?id=100057398150482,"11:00–14:00, 17:00–21:00 (週一二休)","23.701147, 120.543168",雲林100碗,最新地址為南揚街12號
30,斗六市,輕煮丼,輕炙舒肥豬菲力,640雲林縣斗六市八德路27號,120.540118,23.701389,https://www.facebook.com/profile.php?id=100083163351336,"11:00–14:00, 17:00–20:00","23.701389, 120.540118",雲林100碗,
31,斗六市,鄧肉圓,脆皮肉圓,640雲林縣斗六市興北街88號,120.541280,23.709610,https://www.facebook.com/dengMeatball/,週一至週日 07:30–21:00,"23.709610, 120.541280",雲林100碗,搬遷至興北街88號
32,斗六市,魷魚興魷魚嘴羹,魷魚羹,640雲林縣斗六市中正路56號,120.543085,23.707833,https://www.facebook.com/profile.php?id=100064213791035,週一至週日 08:30–19:30,"23.707833, 120.543085",雲林100碗,
33,斗南鎮,AKIRA,招牌海鮮丼,630雲林縣斗南鎮順安街178號,120.480088,23.676643,https://www.facebook.com/akiradounan,17:30–20:00 (週日、週一休),"23.676643, 120.480088",雲林100碗,搬遷至順安街178號
34,斗南鎮,HUNGHUNG 甜點工作室,巴斯克蛋糕,630雲林縣斗南鎮中山路120號3樓,120.481134,23.674996,https://www.facebook.com/Hunghung.Studio/,09:00–17:00 (預約制),"23.674996, 120.481134",雲林100碗,搬遷至中山路120號3樓
35,大埤鄉,三角窗,綜合海鮮羹,631雲林縣大埤鄉大埤路7號,120.435759,23.635882,https://www.facebook.com/profile.php?id=100083232810852,10:30–19:30 (週一休),"23.635882, 120.435759",雲林100碗,原誤植為斗南鎮，正確為大埤鄉
36,斗南鎮,北京王餡餅,豬肉餡餅,630雲林縣斗南鎮中山路59號,120.480430,23.674281,無,14:00–18:00 (售完為止),"23.674281, 120.480430",雲林100碗,
37,斗南鎮,冰角放空,芒裡偷閒(芒果雪花冰),630雲林縣斗南鎮新興街140號,120.483733,23.677338,https://www.facebook.com/IceCorner2017/,11:00–21:00 (週一休),"23.677338, 120.483733",雲林100碗,遷至新興街140號
38,斗南鎮,尚珍肉品店,斗南伴手禮-尚珍肉品店,630雲林縣斗南鎮中正路80號,120.480860,23.674872,https://m.ccat.com.tw/1173,週一至週日 08:30–21:00,"23.674872, 120.480860",雲林100碗,
39,斗南鎮,林松雪冰果室,古早味紅茶,630雲林縣斗南鎮中正路157號,120.480612,23.675765,https://www.facebook.com/profile.php?id=100057165039233,週一至週日 09:00–21:00,"23.675765, 120.480612",雲林100碗,
40,斗南鎮,阿國師雲蒸薑母鴨,甕蒸薑母鴨,630雲林縣斗南鎮義德路2號,120.485123,23.674512,https://www.facebook.com/gingerduck1985/,週一至週日 12:00–00:00,"23.674512, 120.485123",雲林100碗,搬遷至義德路2號
41,斗南鎮,屋簷下的幸福,同心花圓 (芋頭西谷米芋圓豆花),630雲林縣斗南鎮大同路67號,120.481541,23.676646,https://www.ubereats.com/tw/store/%E5%B1%8B%E7%B0%B7%E4%B8%8B%E7%9A%84%E5%B9%B8%E7%A6%8F/CdhGuAVtXdepZASi4teCEg,依店家現場公告為主,"23.676646, 120.481541",雲林100碗,營業時間不固定
42,斗南鎮,屋簷下的幸福,銀耳蓮子桂花釀,630雲林縣斗南鎮大同路67號,120.481541,23.676646,https://www.ubereats.com/tw/store/%E5%B1%8B%E7%B0%B7%E4%B8%8B%E7%9A%84%E5%B9%B8%E7%A6%8F/CdhGuAVtXdepZASi4teCEg,依店家現場公告為主,"23.676646, 120.481541",雲林100碗,營業時間不固定
43,斗南鎮,斗南徐記肉圓,芋頭肉圓,630雲林縣斗南鎮南昌西路85號,120.478956,23.674996,https://www.xuji.com.tw/,週一至週日 10:30–19:00,"23.674996, 120.478956",雲林100碗,修正地址為南昌西路85號
44,斗南鎮,斗南徐記肉圓,筍子肉圓,630雲林縣斗南鎮南昌西路85號,120.478956,23.674996,https://www.xuji.com.tw/,週一至週日 10:30–19:00,"23.674996, 120.478956",雲林100碗,修正地址為南昌西路85號
45,斗南鎮,迷樂卡啡,厚切豬排咖哩,630雲林縣斗南鎮中山路2-1號,120.483120,23.674092,https://www.facebook.com/meetlife.cafe/,週一至週日 11:00–21:00,"23.674092, 120.483120",雲林100碗,火車站旁舊糖廠倉庫
46,斗南鎮,彭家飯湯,飯湯,630雲林縣斗南鎮延平路一段163號,120.473552,23.668582,https://www.facebook.com/peng.rice.soup,週二至週日 11:00–20:00 (週一休),"23.668582, 120.473552",雲林100碗,地址修正為一段
47,水林鄉,杰樂蕃薯園,手作無糖地瓜乾,652雲林縣水林鄉大溝村172號,120.211603,23.551694,https://www.facebook.com/JieleFh/,週一至週日 09:00–18:00,"23.551694, 120.211603",雲林100碗,補齊完整門牌
48,水林鄉,阿德的家,地瓜瑞士捲,652雲林縣水林鄉尖山腳45-18號,120.245842,23.568393,https://www.facebook.com/adewang.bakery,週末 10:00–18:00 (平日需預約),"23.568393, 120.245842",雲林100碗,位於憨吉秘塘
49,水林鄉,水林玉記號,寶島地瓜燒,652雲林縣水林鄉水林路106號,120.252615,23.573138,https://www.facebook.com/Yujihao,週一至週日 08:00–20:00,"23.573138, 120.252615",雲林100碗,
50,水林鄉,祥美餅舖,不老農芝麻花生糖,652雲林縣水林鄉水林路221號,120.250486,23.576086,https://www.facebook.com/%E6%B0%B4%E6%9E%97%E7%A5%A5%E7%BE%8E%E9%A4%85%E8%88%96-106511394468202/,週一至週日 08:00–20:00,"23.576086, 120.250486",雲林100碗,修正門牌為221號
51,水林鄉,祥美餅舖,紅龜粿,652雲林縣水林鄉水林路221號,120.250486,23.576086,https://www.facebook.com/%E6%B0%B4%E6%9E%97%E7%A5%A5%E7%BE%8E%E9%A4%85%E8%88%96-106511394468202/,週一至週日 08:00–20:00,"23.576086, 120.250486",雲林100碗,修正門牌為221號
52,水林鄉,祥美餅舖,香菇豬肉油飯,652雲林縣水林鄉水林路221號,120.250486,23.576086,https://www.facebook.com/%E6%B0%B4%E6%9E%97%E7%A5%A5%E7%BE%8E%E9%A4%85%E8%88%96-106511394468202/,週一至週日 08:00–20:00,"23.576086, 120.250486",雲林100碗,修正門牌為221號
53,北港鎮,久旺炎商行,麻辣鴨血臭豆腐、麻辣冷滷味,651雲林縣北港鎮華勝路398號1樓,120.302315,23.585520,https://www.facebook.com/p/%E4%B9%85%E6%97%BA%E7%82%8E%E9%A4%8A%E7%94%9F%E9%BA%BB%E8%BE%A3%E9%8D%B7-100063630713054/,11:00–19:30,"23.585520, 120.302315",雲林100碗,修正地址為華勝路398號1樓
