id,category,sub_category,name,district,address,lat,lng,google_coordinates,phone,business_hours,description,tags,google_map_url,notes,google_matched_name
MOOVO-YL-001,MOOVO自行車租借站,交通轉運,斗六火車站前站,斗六市,民生路與大同路口（前站廣場／設有MOOVO官方服務中心）,23.711922,120.5410043,"23.711922, 120.5410043",0809-099-002,24小時營運,斗六市重要MOOVO租借點，位於斗六火車站前站，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,交通轉運","https://www.google.com/maps/search/?api=1&query=23.711922,120.5410043",,斗六車站
MOOVO-YL-002,MOOVO自行車租借站,交通轉運,斗六火車站後站,斗六市,武昌路斗六火車站後站出口廣場,23.7122751,120.5409481,"23.7122751, 120.5409481",0809-099-002,24小時營運,斗六市重要MOOVO租借點，位於斗六火車站後站，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,交通轉運","https://www.google.com/maps/search/?api=1&query=23.7122751,120.5409481",,斗六後火車站
MOOVO-YL-003,MOOVO自行車租借站,學校文教,國立雲林科技大學(正門),斗六市,大學路三段123號（雲科大大門口/行政大樓旁）,23.6959835,120.5340648,"23.6959835, 120.5340648",0809-099-002,24小時營運,斗六市重要MOOVO租借點，位於國立雲林科技大學(正門)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.6959835,120.5340648",,國立雲林科技大學
MOOVO-YL-004,MOOVO自行車租借站,學校文教,雲林科技大學(龍潭路商圈),斗六市,龍潭路學生商圈/側門,23.6959835,120.5340648,"23.6959835, 120.5340648",0809-099-002,24小時營運,斗六市重要MOOVO租借點，位於雲林科技大學(龍潭路商圈)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.6959835,120.5340648",,國立雲林科技大學
MOOVO-YL-005,MOOVO自行車租借站,學校文教,雲林科技大學(體育館),斗六市,大學路三段雲科大體育館旁,23.6959835,120.5340648,"23.6959835, 120.5340648",0809-099-002,24小時營運,斗六市重要MOOVO租借點，位於雲林科技大學(體育館)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.6959835,120.5340648",,國立雲林科技大學
MOOVO-YL-006,MOOVO自行車租借站,學校文教,雲林科技大學(宿舍區),斗六市,雲科大學生宿舍南側出入口,23.6959835,120.5340648,"23.6959835, 120.5340648",0809-099-002,24小時營運,斗六市重要MOOVO租借點，位於雲林科技大學(宿舍區)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.6959835,120.5340648",,國立雲林科技大學
MOOVO-YL-007,MOOVO自行車租借站,觀光休閒,斗六國際棒球場,斗六市,明德北路二段320號（棒球場大門口）,23.7171412,120.5361349,"23.7171412, 120.5361349",0809-099-002,24小時營運,斗六市重要MOOVO租借點，位於斗六國際棒球場，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,觀光休閒","https://www.google.com/maps/search/?api=1&query=23.7171412,120.5361349",,斗六棒球場
MOOVO-YL-008,MOOVO自行車租借站,購物商圈,斗六觀光夜市,斗六市,鎮南路與明德東路口周邊,23.695504,120.5431043,"23.695504, 120.5431043",0809-099-002,24小時營運,斗六市重要MOOVO租借點，位於斗六觀光夜市，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,購物商圈","https://www.google.com/maps/search/?api=1&query=23.695504,120.5431043",,斗六觀光夜市
MOOVO-YL-009,MOOVO自行車租借站,機關醫療,雲林縣政府,斗六市,雲林路二段515號（縣府正門前）,23.6992302,120.5263277,"23.6992302, 120.5263277",0809-099-002,24小時營運,斗六市重要MOOVO租借點，位於雲林縣政府，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,機關醫療","https://www.google.com/maps/search/?api=1&query=23.6992302,120.5263277",,雲林縣政府
MOOVO-YL-010,MOOVO自行車租借站,機關醫療,雲林縣議會,斗六市,大學路三段與府文路口,23.6958994,120.5284851,"23.6958994, 120.5284851",0809-099-002,24小時營運,斗六市重要MOOVO租借點，位於雲林縣議會，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,機關醫療","https://www.google.com/maps/search/?api=1&query=23.6958994,120.5284851",,雲林縣議會
