站點代碼,站點名稱,行政區,站點類型,X,Y,位置與周邊地標,提供車款,租借方式,費率與優惠,營運狀態,網站小卡文案簡介,特色標籤,Google地圖連結
MOOVO-YL-001,斗六火車站前站,斗六市,交通轉運,120.543438,23.709923,民生路與大同路口（前站廣場／設有MOOVO官方服務中心）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六火車站前站，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,交通轉運","https://www.google.com/maps/search/?api=1&query=23.709923,120.543438"
MOOVO-YL-002,斗六火車站後站,斗六市,交通轉運,120.544712,23.711832,武昌路斗六火車站後站出口廣場,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六火車站後站，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,交通轉運","https://www.google.com/maps/search/?api=1&query=23.711832,120.544712"
MOOVO-YL-003,國立雲林科技大學(正門),斗六市,學校文教,120.534289,23.695347,大學路三段123號（雲科大大門口/行政大樓旁）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於國立雲林科技大學(正門)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.695347,120.534289"
MOOVO-YL-004,雲林科技大學(龍潭路商圈),斗六市,學校文教,120.536972,23.693481,龍潭路學生商圈/側門,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林科技大學(龍潭路商圈)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.693481,120.536972"
MOOVO-YL-005,雲林科技大學(體育館),斗六市,學校文教,120.532145,23.692145,大學路三段雲科大體育館旁,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林科技大學(體育館)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.692145,120.532145"
MOOVO-YL-006,雲林科技大學(宿舍區),斗六市,學校文教,120.535678,23.691234,雲科大學生宿舍南側出入口,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林科技大學(宿舍區)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.691234,120.535678"
MOOVO-YL-007,斗六國際棒球場,斗六市,觀光休閒,120.548903,23.717615,明德北路二段320號（棒球場大門口）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六國際棒球場，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,觀光休閒","https://www.google.com/maps/search/?api=1&query=23.717615,120.548903"
MOOVO-YL-008,斗六觀光夜市,斗六市,購物商圈,120.542283,23.698942,鎮南路與明德東路口周邊,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六觀光夜市，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,購物商圈","https://www.google.com/maps/search/?api=1&query=23.698942,120.542283"
MOOVO-YL-009,雲林縣政府,斗六市,機關醫療,120.531728,23.700341,雲林路二段515號（縣府正門前）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林縣政府，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,機關醫療","https://www.google.com/maps/search/?api=1&query=23.700341,120.531728"
MOOVO-YL-010,雲林縣議會,斗六市,機關醫療,120.531234,23.698712,大學路三段與府文路口,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林縣議會，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,機關醫療","https://www.google.com/maps/search/?api=1&query=23.698712,120.531234"
MOOVO-YL-011,雲林縣立文化觀光處(圖書館),斗六市,學校文教,120.530876,23.699812,大學路三段310號（文化中心旁）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林縣立文化觀光處(圖書館)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.699812,120.530876"
MOOVO-YL-012,成大醫院斗六分院,斗六市,機關醫療,120.551944,23.708152,莊敬路345號（成大醫院正門旁）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於成大醫院斗六分院，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,機關醫療","https://www.google.com/maps/search/?api=1&query=23.708152,120.551944"
MOOVO-YL-013,雲林基督教醫院(斗六分院),斗六市,機關醫療,120.548912,23.713412,成功路320號（醫院正門口）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林基督教醫院(斗六分院)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,機關醫療","https://www.google.com/maps/search/?api=1&query=23.713412,120.548912"
MOOVO-YL-014,斗六市公所 / 戶政事務所,斗六市,機關醫療,120.542145,23.708912,府前街28號（公所廣場旁）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六市公所 / 戶政事務所，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,機關醫療","https://www.google.com/maps/search/?api=1&query=23.708912,120.542145"
MOOVO-YL-015,行啟紀念館 / 公民會館,斗六市,觀光休閒,120.540871,23.704618,府前街101號（行啟紀念館前園區）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於行啟紀念館 / 公民會館，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,觀光休閒","https://www.google.com/maps/search/?api=1&query=23.704618,120.540871"
MOOVO-YL-016,斗六家樂福,斗六市,購物商圈,120.535812,23.704256,雲林路二段297號（家樂福入口廣場）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六家樂福，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,購物商圈","https://www.google.com/maps/search/?api=1&query=23.704256,120.535812"
MOOVO-YL-017,雲林溪美食廣場,斗六市,購物商圈,120.540125,23.706189,民生南路與雲林溪水岸旁,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林溪美食廣場，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,購物商圈","https://www.google.com/maps/search/?api=1&query=23.706189,120.540125"
MOOVO-YL-018,國立斗六高級中學,斗六市,學校文教,120.545112,23.714521,文化路211號（斗六高中大門側）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於國立斗六高級中學，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.714521,120.545112"
MOOVO-YL-019,國立斗六高級家事商業職業學校,斗六市,學校文教,120.548971,23.702812,成功路61號（斗六家商大門）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於國立斗六高級家事商業職業學校，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.702812,120.548971"
MOOVO-YL-020,斗六國中,斗六市,學校文教,120.536781,23.713891,育英北街69號（斗六國中校門旁）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六國中，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.713891,120.536781"
MOOVO-YL-021,雲林國中,斗六市,學校文教,120.538912,23.701234,明德路59號（雲林國中前）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林國中，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.701234,120.538912"
MOOVO-YL-022,鎮南國小,斗六市,學校文教,120.541234,23.698765,南揚街60號（鎮南國小大門）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於鎮南國小，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.698765,120.541234"
MOOVO-YL-023,鎮東國小,斗六市,學校文教,120.549876,23.712345,文化路（鎮東國小旁）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於鎮東國小，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.712345,120.549876"
MOOVO-YL-024,鎮西國小,斗六市,學校文教,120.535678,23.706781,西平路3號（鎮西國小校門）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於鎮西國小，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.706781,120.535678"
MOOVO-YL-025,斗六水岸公園 / 社口藝術水岸,斗六市,觀光休閒,120.536782,23.701145,社口水岸公園步道口,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六水岸公園 / 社口藝術水岸，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,觀光休閒","https://www.google.com/maps/search/?api=1&query=23.701145,120.536782"
MOOVO-YL-026,斗六繪本館 / 膨鼠森林公園,斗六市,觀光休閒,120.547891,23.705612,莊敬路膨鼠森林公園大門入口,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六繪本館 / 膨鼠森林公園，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,觀光休閒","https://www.google.com/maps/search/?api=1&query=23.705612,120.547891"
MOOVO-YL-027,金瓜鼠滾滾樂園,斗六市,觀光休閒,120.549123,23.706432,莊敬路金瓜鼠園區入口步道,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於金瓜鼠滾滾樂園，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,觀光休閒","https://www.google.com/maps/search/?api=1&query=23.706432,120.549123"
MOOVO-YL-028,雲林縣立體育館,斗六市,觀光休閒,120.533412,23.698123,大學路三段縣立體育館前廣場,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林縣立體育館，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,觀光休閒","https://www.google.com/maps/search/?api=1&query=23.698123,120.533412"
MOOVO-YL-029,斗六南聖宮,斗六市,宗教社區,120.556781,23.688765,南聖路301號（南聖宮牌樓前廣場）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六南聖宮，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,宗教社區","https://www.google.com/maps/search/?api=1&query=23.688765,120.556781"
MOOVO-YL-030,斗六新興宮(斗六媽),斗六市,宗教社區,120.541234,23.708912,中正路105號（新興宮廟前廣場）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六新興宮(斗六媽)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,宗教社區","https://www.google.com/maps/search/?api=1&query=23.708912,120.541234"
MOOVO-YL-031,斗六受天宮,斗六市,宗教社區,120.545678,23.703214,莊敬路受天宮前,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六受天宮，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,宗教社區","https://www.google.com/maps/search/?api=1&query=23.703214,120.545678"
MOOVO-YL-032,全聯斗六鎮南店,斗六市,購物商圈,120.543412,23.700123,鎮南路全聯福利中心前,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於全聯斗六鎮南店，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,購物商圈","https://www.google.com/maps/search/?api=1&query=23.700123,120.543412"
MOOVO-YL-033,全聯斗六上海店,斗六市,購物商圈,120.538765,23.707123,上海路全聯旁,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於全聯斗六上海店，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,購物商圈","https://www.google.com/maps/search/?api=1&query=23.707123,120.538765"
MOOVO-YL-034,全聯斗六西平店,斗六市,購物商圈,120.536781,23.716781,西平路全聯前停車場旁,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於全聯斗六西平店，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,購物商圈","https://www.google.com/maps/search/?api=1&query=23.716781,120.536781"
MOOVO-YL-035,斗六市藝術水岸園區,斗六市,觀光休閒,120.539876,23.702456,藝術水岸園區停車場旁,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六市藝術水岸園區，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,觀光休閒","https://www.google.com/maps/search/?api=1&query=23.702456,120.539876"
MOOVO-YL-036,石榴火車站,斗六市,交通轉運,120.582145,23.733412,石榴火車站站前廣場,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於石榴火車站，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,交通轉運","https://www.google.com/maps/search/?api=1&query=23.733412,120.582145"
MOOVO-YL-037,斗六工業區服務中心,斗六市,機關醫療,120.569812,23.742145,斗工十路斗六工業區管委會旁,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六工業區服務中心，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,機關醫療","https://www.google.com/maps/search/?api=1&query=23.742145,120.569812"
MOOVO-YL-038,寧濟御庭山水園區,斗六市,觀光休閒,120.575231,23.681123,貞寮路寧濟御庭大門口,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於寧濟御庭山水園區，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,觀光休閒","https://www.google.com/maps/search/?api=1&query=23.681123,120.575231"
MOOVO-YL-039,長安社區活動中心,斗六市,宗教社區,120.528912,23.741234,長安路活動中心前,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於長安社區活動中心，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,宗教社區","https://www.google.com/maps/search/?api=1&query=23.741234,120.528912"
MOOVO-YL-040,梅林社區活動中心(梅林國小),斗六市,學校文教,120.586781,23.698123,梅林路梅林國小旁,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於梅林社區活動中心(梅林國小)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.698123,120.586781"
MOOVO-YL-041,台灣高鐵雲林站,虎尾鎮,交通轉運,120.432654,23.738128,站前東路301號（高鐵站出入口接駁區）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,虎尾鎮重要MOOVO租借點，位於台灣高鐵雲林站，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,虎尾鎮,交通轉運","https://www.google.com/maps/search/?api=1&query=23.738128,120.432654"
MOOVO-YL-042,國立虎尾科技大學(文化路正門),虎尾鎮,學校文教,120.435876,23.704123,文化路64號（虎科大第一校區校門口）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,虎尾鎮重要MOOVO租借點，位於國立虎尾科技大學(文化路正門)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,虎尾鎮,學校文教","https://www.google.com/maps/search/?api=1&query=23.704123,120.435876"
MOOVO-YL-043,虎尾科技大學(八德街二校區),虎尾鎮,學校文教,120.438912,23.701894,八德街虎科大第二校區側門/宿舍區,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,虎尾鎮重要MOOVO租借點，位於虎尾科技大學(八德街二校區)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,虎尾鎮,學校文教","https://www.google.com/maps/search/?api=1&query=23.701894,120.438912"
