站點代碼,來源分類,行政區,站點名稱,站點細項分類,緯度(Latitude),經度(Longitude),詳細地址/位置,飲水機補水資訊,洗手間/公廁資訊,充氣/單車設施,開放/營業時間,網站小卡文案簡介,特色標籤,Google地圖連結,特色標籤
YL-DL-001,MOOVO自行車租借站,斗六市,斗六火車站前站,交通轉運,23.709923,120.543438,民生路與大同路口（斗六火車站前站廣場／設有MOOVO雲林服務中心）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike) | 租借方式: MOOVO APP 掃碼 / 電子票證（悠遊卡、一卡通、TPASS通勤月票）,24小時營運 (APP/電子票證租借),斗六交通核心樞紐，設有MOOVO官方服務中心，轉乘台鐵、客運與市區漫遊最便捷首站。,"火車站,服務中心,TPASS適用,商圈中心","https://www.google.com/maps/search/?api=1&query=23.709923,120.543438",
YL-DL-002,MOOVO自行車租借站,斗六市,斗六火車站後站,交通轉運,23.711832,120.544712,武昌路斗六火車站後站出口廣場,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),火車站後站快速出入通道，方便往後站住宅區及周邊機關通勤借還車。,"火車站,通勤推薦,後站商圈","https://www.google.com/maps/search/?api=1&query=23.711832,120.544712",
YL-DL-003,MOOVO自行車租借站,斗六市,國立雲林科技大學,學校文教,23.695347,120.534289,大學路三段123號（雲科大大門口/行政大樓旁）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),雲林最高學府主要出入口，校園廣闊，騎乘MOOVO穿梭系館與市區最省時。,"大專院校,學生通勤,校園周邊","https://www.google.com/maps/search/?api=1&query=23.695347,120.534289",
YL-DL-004,MOOVO自行車租借站,斗六市,雲林科技大學(龍潭路),學校文教,23.693481,120.536972,龍潭路雲科大學生商圈/側門,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),雲科大人氣美食街龍潭路，聚集多樣學生餐廳與小吃，用餐騎行首選。,"學生商圈,美食街,高使用率","https://www.google.com/maps/search/?api=1&query=23.693481,120.536972",
YL-DL-005,MOOVO自行車租借站,斗六市,斗六棒球場,觀光休閒,23.717615,120.548903,明德北路二段320號（斗六國際棒球場正門）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),國際標準級賽事場地，職棒賽事、運動休閒活動最佳綠色接駁點。,"運動場館,職棒賽事,停車便利","https://www.google.com/maps/search/?api=1&query=23.717615,120.548903",
YL-DL-006,MOOVO自行車租借站,斗六市,斗六觀光夜市,購物商圈,23.698942,120.542283,鎮南路與明德東路口周邊,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),雲林最大型觀光流動夜市，每逢營運日人潮絡繹不絕，免找車位輕鬆迺夜市。,"在地夜市,觀光必訪,假日熱點","https://www.google.com/maps/search/?api=1&query=23.698942,120.542283",
YL-DL-007,MOOVO自行車租借站,斗六市,雲林縣政府,機關醫療,23.700341,120.531728,雲林路二段515號（雲林縣政府大門／文化觀光處旁）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),雲林縣行政核心，洽公、文化觀光處看展或造訪縣府園區最便利站點。,"行政中心,洽公便利,文化中心","https://www.google.com/maps/search/?api=1&query=23.700341,120.531728",
YL-DL-008,MOOVO自行車租借站,斗六市,成大醫院斗六分院,機關醫療,23.708152,120.551944,莊敬路345號（成大斗六分院大門口）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),斗六核心醫療重鎮，提供就醫看診民眾與醫護人員低碳接駁服務。,"醫療照護,長照接駁,市區通勤","https://www.google.com/maps/search/?api=1&query=23.708152,120.551944",
YL-DL-009,MOOVO自行車租借站,斗六市,行啟紀念館,觀光休閒,23.704618,120.540871,府前街101號（行啟紀念館／斗六公民會館）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),日治時期歷史建築與文創園區，假日市集與藝文展覽熱門踩點區。,"文創園區,古蹟散策,假日市集","https://www.google.com/maps/search/?api=1&query=23.704618,120.540871",
YL-DL-010,MOOVO自行車租借站,斗六市,斗六家樂福,購物商圈,23.704256,120.535812,雲林路二段297號（家樂福斗六店入口旁）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),斗六市區主要量販採購據點，鄰近雲林路各類連鎖生活賣場。,"生活採買,市區商圈,購物接駁","https://www.google.com/maps/search/?api=1&query=23.704256,120.535812",
YL-DL-011,MOOVO自行車租借站,斗六市,雲林溪美食廣場,購物商圈,23.706189,120.540125,民生南路雲林溪畔美食廣場,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),品嚐斗六道地老字號小吃（魷魚羹、排骨酥麵、當歸鴨）最佳聚落。,"道地小吃,河岸散步,市中心","https://www.google.com/maps/search/?api=1&query=23.706189,120.540125",
YL-DL-012,MOOVO自行車租借站,斗六市,斗六高中,學校文教,23.714521,120.545112,文化路211號（國立斗六高級中學校門旁）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),斗六指標高級中等學校，學生通學往返火車站的主要綠色運具站點。,"高中通學,學生首選,台鐵接駁","https://www.google.com/maps/search/?api=1&query=23.714521,120.545112",
YL-DL-013,MOOVO自行車租借站,斗六市,斗六家商,學校文教,23.702812,120.548971,成功路61號（國立斗六家商大門）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),鄰近成功路商圈與斗六家商，學生通勤及在地居民代步便利據點。,"學校通學,市區交通,擴站支援","https://www.google.com/maps/search/?api=1&query=23.702812,120.548971",
YL-DL-014,MOOVO自行車租借站,斗六市,斗六水岸公園,觀光休閒,23.701145,120.536782,水岸公園園區步道口（雲林溪水岸）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),結合親水生態與親民自行車步道，傍晚散步、假日親子休閒好去處。,"親水綠帶,休閒慢活,自行車道","https://www.google.com/maps/search/?api=1&query=23.701145,120.536782",
YL-DL-015,MOOVO自行車租借站,斗六市,寧濟御庭,觀光休閒,23.681123,120.575231,斗六市貞寮路寧濟御庭山水園區旁,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),斗六知名精緻中式園林景觀園區，古風庭園造景，假日熱門觀光新站點。,"熱門景點,中式園林,拍照打卡","https://www.google.com/maps/search/?api=1&query=23.681123,120.575231",
YL-HW-001,MOOVO自行車租借站,虎尾鎮,高鐵雲林站,交通轉運,23.738128,120.432654,站前東路301號（台灣高鐵雲林站出口接駁區）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),雲林聯外高鐵門戶，提供商務旅客、返鄉遊子迅速銜接中科園區與虎尾市區。,"高鐵樞紐,商務通勤,中科虎尾","https://www.google.com/maps/search/?api=1&query=23.738128,120.432654",
