站點代碼,維修點名稱,行政區,店家體系/類型,X,Y,詳細地址/位置地標,phone,services,營業時間,網站小卡文案簡介,特色標籤,聯絡電話與維修服務項目,Google地圖連結
REP-YL-001,捷安特 玩家單車生活館 (斗六店),斗六市,捷安特專賣/維修,120.542891,23.709543,民生路196號1樓 (斗六車站前站商圈),05-5339163,全車檢修、補胎換胎、煞車變速調整、鏈條保養、公路車/登山車升級、高壓打氣,週一至週六 10:00-21:00 (週日公休),斗六火車站前知名捷安特專業店，提供各車系完整檢修、耗材更換與道路救援諮詢。,"捷安特,專業維修,公路車保養,火車站商圈,補胎換胎",電話: 05-5339163 | 服務項目: 全車檢修、補胎換胎、煞車變速調整、鏈條保養、公路車/登山車升級、高壓打氣,"https://www.google.com/maps/search/?api=1&query=23.709543,120.542891"
REP-YL-002,美利達自行車 宏翊車行,斗六市,美利達專賣/維修,120.546123,23.714123,文化路151號1樓 (斗六高中周邊),05-5326179,美利達全車系維修、變速校正、煞車系統檢修、內外胎更換、電輔車保養,週一至週六 10:00-21:00 (週日公休),斗六在地資深美利達經銷店，技術扎實，學生通學車與專業運動車款維修首選。,"美利達,老字號,通學車修繕,變速調整,打氣支援",電話: 05-5326179 | 服務項目: 美利達全車系維修、變速校正、煞車系統檢修、內外胎更換、電輔車保養,"https://www.google.com/maps/search/?api=1&query=23.714123,120.546123"
REP-YL-003,城市綠洲戶外生活館 (斗六店),斗六市,綜合單車/戶外維修,120.537612,23.682145,仁義路6號 (台3線往古坑方向),05-5375099,單車成車維修、零配件升級、煞車變速保養、輪胎更換、戶外車隊補給,週一至週日 11:00-21:00,雲林大型戶外與單車生活館，設有專業單車維修區，提供多品牌自行車耗材更換。,"大型戶外單車館,多品牌保養,耗材齊全,台3線旁",電話: 05-5375099 | 服務項目: 單車成車維修、零配件升級、煞車變速保養、輪胎更換、戶外車隊補給,"https://www.google.com/maps/search/?api=1&query=23.682145,120.537612"
REP-YL-004,捷安特 玩家單車 (斗六家樂福店),斗六市,捷安特專賣/維修,120.535812,23.704256,雲林路二段297號 (家樂福商場內),05-5339163,捷安特車款維修、煞車調整、補胎打氣、運動自行車配件選購,每日 10:00-22:00,家樂福賣場內便利據點，採買同時可進行單車簡易維修與胎壓補氣。,"家樂福內,商場便利,捷安特,營業時間長",電話: 05-5339163 | 服務項目: 捷安特車款維修、煞車調整、補胎打氣、運動自行車配件選購,"https://www.google.com/maps/search/?api=1&query=23.704256,120.535812"
REP-YL-005,嘻遊記單車 (SeeYo Bike),斗六市,專業單車工坊,120.536781,23.712891,明德路557號,05-5339881,高級公路車組裝、輪組校正、全車大保養、異音排除、煞車油更換、客製化改裝,週二至週六 12:00-21:00,斗六專業自行車改裝與保養工坊，專精中高階公路車與精緻校正調校服務。,"公路車專門,精品改裝,輪組校正,大保養",電話: 05-5339881 | 服務項目: 高級公路車組裝、輪組校正、全車大保養、異音排除、煞車油更換、客製化改裝,"https://www.google.com/maps/search/?api=1&query=23.712891,120.536781"
REP-YL-006,東東鐵馬 (東東自行車行),斗六市,傳統單車維修,120.533412,23.695812,中山路585巷15號 (雲科大周邊),0918-991230,補胎、換內胎、換外胎、鏈條上油、煞車線更換、菜籃/腳架安裝、平價維修,週一至週三/週五至週日 10:00-19:00 (週四公休),雲科大學生最推的在地良心老車行，補胎迅速收費親民，解決日常通勤突發狀況。,"雲科大旁,學生推薦,快速補胎,平價實惠",電話: 0918-991230 | 服務項目: 補胎、換內胎、換外胎、鏈條上油、煞車線更換、菜籃/腳架安裝、平價維修,"https://www.google.com/maps/search/?api=1&query=23.695812,120.533412"
REP-YL-007,伯旺自行車行,斗六市,傳統單車維修,120.539876,23.702891,中山路366號,05-5327811,各類自行車簡易維修、補胎更換零件、老車翻新、打氣支援,週一至週六 08:00-20:00,斗六市區老牌自行車店，技術純熟，提供車友即時的輪胎與傳動檢修。,"老店維修,快速檢修,補胎打氣",電話: 05-5327811 | 服務項目: 各類自行車簡易維修、補胎更換零件、老車翻新、打氣支援,"https://www.google.com/maps/search/?api=1&query=23.702891,120.539876"
REP-YL-008,捷安特 勝心單車生活館 (虎尾店),虎尾鎮,捷安特專賣/維修,120.426789,23.714567,林森路二段496號 (虎尾林森路主幹道),05-6310199,捷安特全車系維修、公路車保養、煞車變速調整、內外胎更換、電輔車檢測、高壓充氣,每日 10:00-21:00,虎尾林森路上指標性捷安特旗艦生活館，設備齊全新穎，單車長征後勤整備首選。,"捷安特旗艦,專業檢修,林森路商圈,電輔車保養",電話: 05-6310199 | 服務項目: 捷安特全車系維修、公路車保養、煞車變速調整、內外胎更換、電輔車檢測、高壓充氣,"https://www.google.com/maps/search/?api=1&query=23.714567,120.426789"
REP-YL-009,馬克單車 (SHIMANO SSC 服務中心),虎尾鎮,SHIMANO官方認證/專業店,120.431234,23.702456,中南路1-16號,0986-825350,SHIMANO 原廠系統保修、油壓碟煞換油、電變系統診斷、專業Fitting、高階輪組校正,週一至週五 11:00-19:00 / 週六 10:00-20:00 (週日公休),雲林極具知名度的 SHIMANO 原廠授權服務中心，設備專業，長途賽事與公路車整備首選。,"SHIMANO認證,專業Fitting,油壓煞車,電變檢測,高端保養",電話: 0986-825350 | 服務項目: SHIMANO 原廠系統保修、油壓碟煞換油、電變系統診斷、專業Fitting、高階輪組校正,"https://www.google.com/maps/search/?api=1&query=23.702456,120.431234"
REP-YL-010,欽發自行車行,虎尾鎮,美利達/綜合維修,120.435678,23.709123,光復路334號 (虎尾高中周邊),05-6323792,自行車組裝維修、補胎換胎、鏈條飛輪更換、通學車健檢,週一至週六 08:30-21:00,虎尾在地老字號自行車行，鄰近市區核心，提供快速周到的車輛修繕。,"虎尾老字號,快速補胎,通學保修",電話: 05-6323792 | 服務項目: 自行車組裝維修、補胎換胎、鏈條飛輪更換、通學車健檢,"https://www.google.com/maps/search/?api=1&query=23.709123,120.435678"
REP-YL-011,昌陽鐵馬行,虎尾鎮,傳統單車維修,120.428912,23.725678,穎川里頂南150-1號 (高鐵特區南側),05-6335295,輪胎更換、煞車夾器調整、傳動系統除鏽上油、打氣,每日 08:00-19:00,高鐵特定區與頂南聚落重要維修中繼，親切實在，方便過路騎士應急維修。,"高鐵周邊,應急維修,補胎打氣",電話: 05-6335295 | 服務項目: 輪胎更換、煞車夾器調整、傳動系統除鏽上油、打氣,"https://www.google.com/maps/search/?api=1&query=23.725678,120.428912"
