id,category,sub_category,name,district,address,lat,lng,google_coordinates,phone,business_hours,description,tags,google_map_url,google_matched_name
POLICE-YL-001,鐵馬驛站/派出所,警察機關/鐵馬服務站,斗六派出所,斗六市,雲林縣斗六市文化路36號,23.7108594,120.5453552,"23.7108594, 120.5453552",05-5322130,24小時營運,雲林縣警局鐵馬服務站，提供自行車友飲水機加水、洗手間、打氣筒、簡易維修工具與旅遊諮詢服務。,"鐵馬驛站,飲水補給,免費廁所,斗六市,打氣維修","https://www.google.com/maps/search/?api=1&query=23.7108594,120.5453552",雲林縣警察局斗六分局斗六派出所
POLICE-YL-002,鐵馬驛站/派出所,警察機關/鐵馬服務站,公正派出所,斗六市,雲林縣斗六市大學路一段637號,23.7029556,120.5541174,"23.7029556, 120.5541174",05-5323180,24小時營運,雲林縣警局鐵馬服務站，位於斗六市區外環道旁，提供自行車友飲水機加水、洗手間與打氣補給。,"鐵馬驛站,飲水補給,免費廁所,斗六市,打氣維修","https://www.google.com/maps/search/?api=1&query=23.7029556,120.5541174",雲林縣警察局斗六分局公正派出所
POLICE-YL-003,鐵馬驛站/派出所,警察機關/鐵馬服務站,榴中派出所,斗六市,雲林縣斗六市石榴路81號,23.729112,120.573215,"23.729112, 120.573215",05-5573651,24小時營運,台3線旁鐵馬驛站，適合往來林內、斗六的單車騎士補給飲水、借用洗手間與輪胎打氣。,"鐵馬驛站,飲水補給,免費廁所,斗六市,台3線","https://www.google.com/maps/search/?api=1&query=23.729112,120.573215",榴中派出所
POLICE-YL-004,鐵馬驛站/派出所,警察機關/鐵馬服務站,溝埧派出所,斗六市,雲林縣斗六市仁義路89-16號,23.6790424,120.5384788,"23.6790424, 120.5384788",05-5220334,24小時營運,台3線往古坑方向重要鐵馬服務站，提供單車騎士飲水、洗手間及單車簡易維修支援。,"鐵馬驛站,飲水補給,免費廁所,斗六市,台3線","https://www.google.com/maps/search/?api=1&query=23.6790424,120.5384788",640雲林縣斗六市崙峯里仁義路89號
POLICE-YL-005,鐵馬驛站/派出所,警察機關/鐵馬服務站,斗南派出所,斗南鎮,雲林縣斗南鎮文昌路500號,23.6797245,120.472021,"23.6797245, 120.472021",05-5972047,24小時營運,斗南市區核心鐵馬驛站，提供單車騎士茶水、洗手間、打氣設備及諮詢服務。,"鐵馬驛站,飲水補給,免費廁所,斗南鎮,市區補給","https://www.google.com/maps/search/?api=1&query=23.6797245,120.472021",雲林縣警察局斗南分局暨斗南派出所
POLICE-YL-006,鐵馬驛站/派出所,警察機關/鐵馬服務站,新光派出所,斗南鎮,雲林縣斗南鎮延平路一段222號,23.6909089,120.4796186,"23.6909089, 120.4796186",05-5972540,24小時營運,台1線省道旁鐵馬驛站，南北縱走環島單車族首選補給點，提供飲用水及洗手間。,"鐵馬驛站,飲水補給,免費廁所,斗南鎮,台1線環島","https://www.google.com/maps/search/?api=1&query=23.6909089,120.4796186",雲林縣警察局斗南分局新光派出所
POLICE-YL-007,鐵馬驛站/派出所,警察機關/鐵馬服務站,虎尾派出所,虎尾鎮,雲林縣虎尾鎮光復路151號,23.7093566,120.445445,"23.7093566, 120.445445",05-6322118,24小時營運,虎尾市區中心鐵馬服務站，鄰近虎尾糖廠與各景點，設有飲水機與洗手間供車友使用。,"鐵馬驛站,飲水補給,免費廁所,虎尾鎮,糖廠周邊","https://www.google.com/maps/search/?api=1&query=23.7093566,120.445445",雲林縣警察局虎尾分局暨虎尾派出所
POLICE-YL-008,鐵馬驛站/派出所,警察機關/鐵馬服務站,西螺派出所,西螺鎮,雲林縣西螺鎮公正路213號,23.8011404,120.4616404,"23.8011404, 120.4616404",05-5862014,24小時營運,西螺大橋及延平老街周邊重要鐵馬驛站，提供跨濁水溪單車騎士飲水、洗手間及打氣服務。,"鐵馬驛站,飲水補給,免費廁所,西螺鎮,西螺大橋","https://www.google.com/maps/search/?api=1&query=23.8011404,120.4616404",雲林縣警察局西螺分局暨西螺派出所
POLICE-YL-009,鐵馬驛站/派出所,警察機關/鐵馬服務站,北港派出所,北港鎮,雲林縣北港鎮義民路51號,23.5680478,120.3020607,"23.5680478, 120.3020607",05-7832064,24小時營運,北港朝天宮商圈周邊鐵馬驛站，提供熱水冷水補給、如廁與輪胎打氣服務。,"鐵馬驛站,飲水補給,免費廁所,北港鎮,朝天宮周邊","https://www.google.com/maps/search/?api=1&query=23.5680478,120.3020607",雲林縣警察局北港分局北港派出所
POLICE-YL-010,鐵馬驛站/派出所,警察機關/鐵馬服務站,口湖分駐所,口湖鄉,雲林縣口湖鄉口湖村口湖路104號,23.5851812,120.1807938,"23.5851812, 120.1807938",05-7892014,24小時營運,雲林濱海線重要鐵馬驛站，台17線/西濱騎乘車友補給水源、上廁所與應急打氣的好幫手。,"鐵馬驛站,飲水補給,免費廁所,口湖鄉,海線補給","https://www.google.com/maps/search/?api=1&query=23.5851812,120.1807938",雲林縣警察局北港分局口湖分駐所
POLICE-YL-011,鐵馬驛站/派出所,警察機關/鐵馬服務站,台西派出所,臺西鄉,雲林縣臺西鄉中山路108號,23.7006095,120.1995673,"23.7006095, 120.1995673",05-6982244,24小時營運,臺西濱海線重要鐵馬服務站，提供單車客飲用水、乾淨洗手間及道路旅遊諮詢。,"鐵馬驛站,飲水補給,免費廁所,臺西鄉,濱海公路","https://www.google.com/maps/search/?api=1&query=23.7006095,120.1995673",雲林縣政府警察局臺西分局
POLICE-YL-012,鐵馬驛站/派出所,警察機關/鐵馬服務站,古坑分駐所,古坑鄉,雲林縣古坑鄉中山路393-1號,23.6544884,120.5598177,"23.6544884, 120.5598177",05-5821324,24小時營運,古坑登山路線起點鐵馬服務站，爬坡前必備裝水、上廁所與確認胎壓的優良站點。,"鐵馬驛站,飲水補給,免費廁所,古坑鄉,登山補給","https://www.google.com/maps/search/?api=1&query=23.6544884,120.5598177",雲林縣警察局斗南分局古坑分駐所
POLICE-YL-013,鐵馬驛站/派出所,警察機關/鐵馬服務站,華山派出所,古坑鄉,雲林縣古坑鄉華山村華山50號,23.59549,120.594724,"23.59549, 120.594724",05-5901317,24小時營運,華山咖啡園區山區鐵馬服務站，149線山道騎乘車友急需之水源補給與休憩據點。,"鐵馬驛站,飲水補給,免費廁所,古坑鄉,華山風景區","https://www.google.com/maps/search/?api=1&query=23.59549,120.594724",雲林縣警察局斗南分局華山派出所
POLICE-YL-014,鐵馬驛站/派出所,警察機關/鐵馬服務站,林內分駐所,林內鄉,雲林縣林內鄉中山路1號,23.7583023,120.6163578,"23.7583023, 120.6163578",05-5892404,24小時營運,林內火車站旁鐵馬驛站，台3線進出雲林東側之補給重鎮，提供車友冷熱水與公廁。,"鐵馬驛站,飲水補給,免費廁所,林內鄉,台3線","https://www.google.com/maps/search/?api=1&query=23.7583023,120.6163578",雲林縣警察局斗六分局林內分駐所
POLICE-YL-015,鐵馬驛站/派出所,警察機關/鐵馬服務站,莿桐分駐所,莿桐鄉,雲林縣莿桐鄉中山路170號,23.7591725,120.500129,"23.7591725, 120.500129",05-5842025,24小時營運,台1線進入雲林北側的重要警局鐵馬驛站，提供飲水機及洗手間給環島單車客。,"鐵馬驛站,飲水補給,免費廁所,莿桐鄉,台1線環島","https://www.google.com/maps/search/?api=1&query=23.7591725,120.500129",雲林縣警察局斗六分局莿桐分駐所
CPC-YL-001,加油站/補給點,台灣中油直營站,台灣中油 雅虎站（斗六直營）,斗六市,雲林縣斗六市西平路776號,23.7266674,120.5236741,"23.7266674, 120.5236741",05-5514796,24小時營運,斗六往莿桐台1丁線之中油直營站，設有乾淨洗手間與免費飲水機，方便單車騎士裝水如廁。,"中油直營,公用廁所,飲水加水,斗六市,台1丁線","https://www.google.com/maps/search/?api=1&query=23.7266674,120.5236741",台灣中油 雅虎站 (直營&自助)
CPC-YL-002,加油站/補給點,台灣中油直營站,台灣中油 斗六南環路站,斗六市,雲林縣斗六市文化路522號,23.7124299,120.5572205,"23.7124299, 120.5572205",05-5339692,24小時營運,斗六外環道之中油站，提供乾淨如廁空間與飲水補給服務。,"中油直營,公用廁所,飲水加水,斗六市","https://www.google.com/maps/search/?api=1&query=23.7124299,120.5572205",640雲林縣斗六市文化里文化路522號
CPC-YL-003,加油站/補給點,台灣中油直營站,台灣中油 虎尾站（直營）,虎尾鎮,雲林縣虎尾鎮光復路131號,23.709018,120.4466719,"23.709018, 120.4466719",05-6322524,06:00-23:00,虎尾市區主要中油直營站，提供洗手間與飲用水，是虎尾市區自行車補給重點。,"中油直營,公用廁所,飲水加水,虎尾鎮","https://www.google.com/maps/search/?api=1&query=23.709018,120.4466719",台灣中油虎尾站(直營自助)
CPC-YL-004,加油站/補給點,台灣中油直營站,台灣中油 斗南站（直營）,斗南鎮,雲林縣斗南鎮延平路二段165號,23.6799481,120.4809967,"23.6799481, 120.4809967",05-5972320,24小時營運,台1線延平路旁直營加油站，環島車友裝水、洗手間及短暫休息的最佳站點。,"中油直營,公用廁所,飲水加水,斗南鎮,台1線環島","https://www.google.com/maps/search/?api=1&query=23.6799481,120.4809967",台灣中油斗南站（直營）
CPC-YL-005,加油站/補給點,台灣中油直營站,台灣中油 西螺站（直營）,西螺鎮,雲林縣西螺鎮大同路38號,23.7984999,120.4664079,"23.7984999, 120.4664079",05-5862240,24小時營運,西螺市區直營中油站，鄰近西螺大橋，附設公廁與飲用水供應。,"中油直營,公用廁所,飲水加水,西螺鎮,西螺大橋","https://www.google.com/maps/search/?api=1&query=23.7984999,120.4664079",台灣中油 西螺站(直營)
CPC-YL-006,加油站/補給點,台灣中油直營站,台灣中油 北港站（直營）,北港鎮,雲林縣北港鎮華勝路87號,23.5751632,120.2989313,"23.5751632, 120.2989313",05-7832618,24小時營運,北港市區台19線重要中油直營站，提供乾淨公廁與飲用水加水。,"中油直營,公用廁所,飲水加水,北港鎮,台19線","https://www.google.com/maps/search/?api=1&query=23.5751632,120.2989313",台灣中油 北港站(直營)
CPC-YL-007,加油站/補給點,台灣中油直營站,台灣中油 麥寮站（直營）,麥寮鄉,雲林縣麥寮鄉中山路12號,23.750238,120.2615223,"23.750238, 120.2615223",05-6932174,24小時營運,麥寮市區中油直營站，海線車友補給水分及如廁的重要地標。,"中油直營,公用廁所,飲水加水,麥寮鄉,海線補給","https://www.google.com/maps/search/?api=1&query=23.750238,120.2615223",台灣中油 麥寮站(直營&自助)
CPC-YL-008,加油站/補給點,台灣中油直營站,台灣中油 台西站（直營）,臺西鄉,雲林縣臺西鄉中山路36號,23.6990134,120.2027083,"23.6990134, 120.2027083",05-6982124,06:00-22:00,台17線台西段中油站，提供海風強勁騎乘後的補水與洗手間休憩。,"中油直營,公用廁所,飲水加水,臺西鄉,台17線","https://www.google.com/maps/search/?api=1&query=23.6990134,120.2027083",台灣中油 台西站(直營)
TOUR-YL-001,遊客中心/景點服務處,國家風景區/遊客中心,口湖遊客中心,口湖鄉,雲林縣口湖鄉光明路163號,23.5479337,120.1823695,"23.5479337, 120.1823695",05-7906601,09:00-17:30,雲嘉南濱海國家風景區最具代表性自行車補給站，提供單車租借、淋浴設備、冷熱飲水機、五星級洗手間及在地風味餐。,"遊客中心,五星廁所,冷熱飲水,單車驛站,口湖鄉,西濱必訪","https://www.google.com/maps/search/?api=1&query=23.5479337,120.1823695",口湖遊客中心
TOUR-YL-002,遊客中心/景點服務處,地方觀光/遊客中心,古坑綠色隧道交流驛站（遊客中心）,古坑鄉,雲林縣古坑鄉湳子路23號,23.662145,120.548214,"23.662145, 120.548214",05-5829471,08:30-17:30,綠色隧道旁大型觀光驛站，設有無障礙洗手間、飲水補給、單車停放區與假日市集。,"遊客中心,公用廁所,飲水機,綠色隧道,古坑鄉,單車道","https://www.google.com/maps/search/?api=1&query=23.662145,120.548214",古坑綠色隧道交流驛站（遊客中心）
TOUR-YL-003,遊客中心/景點服務處,歷史文創/遊客服務,西螺延平老街文化館（捷發乾記茶莊）,西螺鎮,雲林縣西螺鎮延平路92號,23.8018948,120.4625311,"23.8018948, 120.4625311",05-5861444,09:00-17:30 (週一休館),西螺老街核心文史遊客站，提供老街導覽資訊、洗手間及熱情茶水補給。,"遊客中心,文創古蹟,飲水茶水,免費廁所,西螺鎮,老街","https://www.google.com/maps/search/?api=1&query=23.8018948,120.4625311",648雲林縣西螺鎮中和里延平路92號
TOUR-YL-004,遊客中心/景點服務處,歷史文創/遊客服務,虎尾雲林布袋戲館,虎尾鎮,雲林縣虎尾鎮林森路一段498號,23.7032498,120.3918595,"23.7032498, 120.3918595",05-6313080,10:00-18:00 (週一二休館),日治郡役所歷史建築，虎尾核心文化景點，館內設有乾淨洗手間與公用飲水機供參觀車友使用。,"文化場館,飲水機,乾淨公廁,虎尾鎮,古蹟景點","https://www.google.com/maps/search/?api=1&query=23.7032498,120.3918595",632雲林縣虎尾鎮公安里林森路一段498號
TEMPLE-YL-001,在地宮廟聚落,主祀: 天上聖母,北港朝天宮,北港鎮,雲林縣北港鎮中山路178號,23.5681177,120.3046998,"23.5681177, 120.3046998",05-7832055,05:00-24:00,全台媽祖總廟之一，設有大型香客洗手間與冷熱開水機，廟埕腹地寬敞，極為方便停靠單車。,"宮廟奉茶,大型公廁,飲水補給,北港鎮,香火鼎盛","https://www.google.com/maps/search/?api=1&query=23.5681177,120.3046998",北港朝天宮
TEMPLE-YL-002,在地宮廟聚落,主祀: 天上聖母,西螺福興宮（太平媽）,西螺鎮,雲林縣西螺鎮延平路180號,23.8016276,120.4605212,"23.8016276, 120.4605212",05-5865490,06:00-21:30,西螺老街信仰中心，設有友善車友奉茶機、洗手間及大廟埕停放單車。,"宮廟奉茶,公用洗手間,飲水機,西螺鎮,老街單車停靠","https://www.google.com/maps/search/?api=1&query=23.8016276,120.4605212",西螺福興宮 西螺媽祖太平媽｜媽祖文化祭
TEMPLE-YL-003,在地宮廟聚落,主祀: 五年千歲,馬鳴山鎮安宮,褒忠鄉,雲林縣褒忠鄉馬鳴村鎮安路31號,23.6999295,120.2782851,"23.6999295, 120.2782851",05-6972045,05:00-21:00,雲林中部重要大廟與五年千歲公園，設有多座大型乾淨公廁與奉茶飲水機，適合車友長時間休憩。,"宮廟奉茶,大容量公廁,飲水補給,褒忠鄉,五年千歲","https://www.google.com/maps/search/?api=1&query=23.6999295,120.2782851",馬鳴山鎮安宮五年千歲祖廟
