站點代碼,行政區,門市名稱,店舖代號,X,Y,詳細地址,營業時間,洗手間/公廁服務,內用休憩座位,Fami!ce霜淇淋,Let's Café咖啡,FamiPort事務機,ATM自動櫃員機,行動電源租借,Gogoro換電站,全部服務項目彙整,網站小卡文案簡介,特色標籤,Google地圖連結
FM-YL-018520,斗六市,全家斗六車站店,018520,120.543588,23.709945,雲林縣斗六市民生路187號 (斗六火車站2樓大廳),24小時營業,提供 (火車站站內公廁連通),提供 (內用休憩座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort事務機),提供 (國泰世華/台新ATM),提供 (行動電源租借),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,悠遊卡加值,行動電源租借,台鐵轉乘",斗六火車站站體內門市，下火車租借 MOOVO 前第一線補給站，提供咖啡、霜淇淋與票證加值。,"火車站內,24H,霜淇淋,單品咖啡,MOOVO接駁","https://www.google.com/maps/search/?api=1&query=23.709945,120.543588"
FM-YL-020966,斗六市,全家斗六雲大店,020966,120.534215,23.695328,雲林縣斗六市中山路573號,24小時營業,提供 (店內顧客專用洗手間),提供 (大型學生休憩座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),提供 (Gogoro換電站),"店內洗手間,大型座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,行動電源,Gogoro換電",雲科大生活圈重要門市，中山路與大學路交會處，空間寬敞，水廁與換電機能齊備。,"雲科大商圈,大座位區,店內公廁,霜淇淋,Gogoro","https://www.google.com/maps/search/?api=1&query=23.695328,120.534215"
FM-YL-016621,斗六市,全家斗六社口店,016621,120.539876,23.702812,雲林縣斗六市中山路321號,24小時營業,提供 (顧客專用洗手間),提供 (1-2樓寬敞內用區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),無,"洗手間,二樓大座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,社口藝術水岸旁",社口水岸藝術園區旁，1-2樓超大休憩空間，逛公園、水岸騎行吹冷氣補給首選。,"社口水岸旁,雙層大空間,洗手間,霜淇淋","https://www.google.com/maps/search/?api=1&query=23.702812,120.539876"
FM-YL-021286,斗六市,全家斗六西平店,021286,120.534891,23.722415,雲林縣斗六市西平路677號,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,西平幹道",斗六往莿桐方向西平路大門市，設有換電站與好停車空間，長途騎行便利水廁站。,"西平幹道,Gogoro換電,洗手間,霜淇淋","https://www.google.com/maps/search/?api=1&query=23.722415,120.534891"
FM-YL-017671,斗六市,全家斗六保明店,017671,120.529812,23.719876,雲林縣斗六市保長路51-1號,24小時營業,提供 (洗手間/無障礙友善),提供 (座位區),提供 (Fami!ce 特殊造型霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),提供 (Gogoro換電站),"洗手間,座位區,特殊造型霜淇淋,Let's Café,FamiPort,ATM,Gogoro,往虎尾幹道",斗六西側往虎尾、高鐵特區重要動線，提供特殊造型霜淇淋與換電服務。,"保長路,特殊造型霜淇淋,Gogoro,洗手間","https://www.google.com/maps/search/?api=1&query=23.719876,120.529812"
FM-YL-017335,斗六市,全家斗六久安店,017335,120.515678,23.689123,雲林縣斗六市雲林路三段473號,24小時營業,提供 (顧客洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,台1丁線",省道台1丁線斗六往斗南幹道門市，空間開闊，提供雙向車友快速水廁與換電補給。,"台1丁線,久安聚落,Gogoro,洗手間","https://www.google.com/maps/search/?api=1&query=23.689123,120.515678"
FM-YL-018899,虎尾鎮,全家虎尾高鐵店,018899,120.432654,23.738128,雲林縣虎尾鎮站前東路301號 (高鐵雲林站大廳內),06:00-23:30,提供 (高鐵車站大廳公廁連通),提供 (高鐵大廳座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (高鐵站內ATM),提供 (行動電源租借),提供 (高鐵停車場Gogoro換電站),"高鐵洗手間,大廳座位,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,高鐵票務,MOOVO租借",高鐵雲林站內核心門市，出站即有 MOOVO 單車站，支援多元電子支付與商務補給。,"高鐵站內,霜淇淋,單品咖啡,MOOVO接駁,商務補給","https://www.google.com/maps/search/?api=1&query=23.738128,120.432654"
FM-YL-021697,虎尾鎮,全家虎尾新光店,021697,120.432145,23.708456,雲林縣虎尾鎮光明路75號,24小時營業,提供 (顧客專用洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,虎尾圓環周邊,現烤點心",虎尾市區光明路繁華商圈，近布袋戲館與虎尾故事館，漫遊市區最佳水廁補給站。,"虎尾市區,故事館周邊,洗手間,霜淇淋","https://www.google.com/maps/search/?api=1&query=23.708456,120.432145"
FM-YL-017612,虎尾鎮,全家虎尾霸屯店,017612,120.413412,23.689123,雲林縣虎尾鎮西屯里大屯266號,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,158縣道",158縣道大屯聚落核心門市，雲林平原東西向橫貫公路重要中繼補給水廁站。,"158縣道,大屯聚落,Gogoro換電,洗手間","https://www.google.com/maps/search/?api=1&query=23.689123,120.413412"
FM-YL-017120,斗南鎮,全家斗南車站店,017120,120.481543,23.679123,雲林縣斗南鎮中山路2號 (斗南火車站前廣場),24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,台鐵轉乘,MOOVO站旁",斗南火車站站前出口第一家，鄰近 MOOVO 站點與老街，轉乘與出發必備補給處。,"斗南火車站,站前廣場,MOOVO接駁,霜淇淋,洗手間","https://www.google.com/maps/search/?api=1&query=23.679123,120.481543"
