行政區,門市名稱,店舖代號,詳細地址,緯度(Latitude),經度(Longitude),營業時間,洗手間/公廁服務,內用休憩座位,Fami!ce霜淇淋,Let's Café咖啡,FamiPort事務機,ATM自動櫃員機,行動電源租借,Gogoro換電站,全部服務項目彙整,網站小卡文案簡介,特色標籤,站點代碼,Google地圖連結
斗六市,全家斗六車站店,18520,雲林縣斗六市民生路187號 (斗六火車站2F大廳/出入口),23.709923,120.543438,24小時營業,提供 (火車站站內公廁連通),提供 (內用休憩座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡/私品茶),提供 (FamiPort多功能事務機),提供 (國泰世華/台新ATM),提供 (智慧手機行動電源租借/USB),無,"洗手間,內用座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,悠遊卡/一卡通加值,行動電源租借,台鐵轉乘",斗六火車站站體內門市，下火車租借 MOOVO 前第一線補給站，提供咖啡、霜淇淋與票證加值。,"火車站內,24H,霜淇淋,單品咖啡,MOOVO接駁",FM-YL-001,"https://www.google.com/maps/search/?api=1&query=23.709923,120.543438"
斗六市,全家斗六雲科店,16842,雲林縣斗六市大學路三段123號 (雲林科技大學生活廣場旁),23.694512,120.534891,24小時營業,提供 (店內顧客專用洗手間),提供 (超大空間學生休憩座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort機台/相片沖印),提供 (ATM自動櫃員機),提供 (ChargeSPOT 行動電源租借),提供 (周邊設有Gogoro換電站),"店內洗手間,大型座位區,Fami!ce霜淇淋,Let's Café,FamiPort,相片沖印,ATM,行動電源,Gogoro換電",座落雲科大校園門戶，設有超大寬敞內用休憩區與洗手間，學生與單車騎士補水吹冷氣首選。,"雲科大門市,大座位區,店內公廁,霜淇淋,Gogoro",FM-YL-002,"https://www.google.com/maps/search/?api=1&query=23.694512,120.534891"
斗六市,全家斗六西平店,17215,雲林縣斗六市西平路168號,23.715678,120.538765,24小時營業,提供 (顧客專用洗手間),提供 (休憩座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,微波加熱,現烤熟食",斗六往莿桐、西螺主幹道門市，停車便利，提供乾淨洗手間與現烤點心熟食補給。,"西平幹道,店內洗手間,霜淇淋,熟食補給",FM-YL-003,"https://www.google.com/maps/search/?api=1&query=23.715678,120.538765"
斗六市,全家斗六棒球店,19431,雲林縣斗六市明德北路二段300號,23.717123,120.548123,24小時營業,提供 (洗手間/無障礙友善),提供 (景觀內用座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café / 私品茶),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro換電站,免費熱水供應",斗六國際棒球場正對面，場地極大且設有停車格，車友外環巡航熱門中繼站。,"棒球場正對面,大型門市,Gogoro,霜淇淋,水廁齊備",FM-YL-004,"https://www.google.com/maps/search/?api=1&query=23.717123,120.548123"
斗六市,全家斗六鎮南店,15890,雲林縣斗六市鎮南路215號,23.701234,120.542891,24小時營業,提供 (顧客洗手間),提供 (內用休憩區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,包裹寄取,熱水補給",斗六南側住宅與觀光夜市生活圈，提供全天候現煮咖啡、水廁及充氣休息服務。,"鎮南商圈,觀光夜市旁,洗手間,霜淇淋",FM-YL-005,"https://www.google.com/maps/search/?api=1&query=23.701234,120.542891"
斗六市,全家斗六雲林店,14521,雲林縣斗六市雲林路二段420號,23.701891,120.533412,24小時營業,提供 (顧客專用洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,現烤烘焙,冷熱水",鄰近雲林縣政府、家樂福與文化觀光處，洽公與文創園區騎乘便利水廁點。,"縣政府旁,家樂福商圈,洗手間,單品咖啡",FM-YL-006,"https://www.google.com/maps/search/?api=1&query=23.701891,120.533412"
斗六市,全家斗六石榴店,18112,雲林縣斗六市石榴路280號,23.732145,120.581234,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro換電,台3線補給",省道台3線石榴班路段重要門市，台3線騎士往林內、南投必經的大型休息站。,"台3線省道,石榴門市,Gogoro,水廁完備",FM-YL-007,"https://www.google.com/maps/search/?api=1&query=23.732145,120.581234"
斗六市,全家斗六保長店,19003,雲林縣斗六市保長路105號,23.718912,120.528765,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,冷熱飲水",斗六西側往虎尾、高鐵聯絡道門市，提供車友快速補給與如廁服務。,"保長商圈,往虎尾幹道,洗手間,霜淇淋",FM-YL-008,"https://www.google.com/maps/search/?api=1&query=23.718912,120.528765"
虎尾鎮,全家虎尾高鐵店,18899,雲林縣虎尾鎮站前東路301號 (台灣高鐵雲林站大廳內),23.738128,120.432654,06:00-23:30 (配合高鐵營運),提供 (高鐵車站大廳五星級洗手間),提供 (高鐵大廳座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (高鐵站內ATM),提供 (行動電源租借/高鐵充電插座),提供 (高鐵停車場Gogoro換電站),"高鐵洗手間,大廳座位,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,高鐵票務,MOOVO租借",高鐵雲林站內核心門市，返鄉、商務及鐵馬漫遊起點，支援多元電子支付與補給。,"高鐵站內,霜淇淋,單品咖啡,MOOVO接駁,商務補給",FM-YL-009,"https://www.google.com/maps/search/?api=1&query=23.738128,120.432654"
虎尾鎮,全家虎尾虎科店,16554,雲林縣虎尾鎮文化路55號 (虎尾科技大學第一校區對面),23.704512,120.435432,24小時營業,提供 (顧客洗手間),提供 (寬敞內用座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort/影印列印),提供 (ATM),提供 (行動電源租借),無,"洗手間,大座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,熱食點心,相片列印",虎尾科技大學校門口正對面，學生與車友聚集熱點，座位多、冷氣強、機能完備。,"虎科大門口,文化路商圈,大座位區,洗手間,霜淇淋",FM-YL-010,"https://www.google.com/maps/search/?api=1&query=23.704512,120.435432"
