id,district,store_name,product_name,address,X,Y,phone,business_hours,coordinates,tags,description
1,西螺鎮,丸莊醬油觀光工廠,黑豆純釀醬油禮盒、蔭油,648雲林縣西螺鎮延平路188號,120.463214,23.800532,05-5863666,08:00–20:00,"23.800532, 120.463214","百年醬油, 黑豆蔭油, 觀光工廠",百年古法黑豆純釀造醬油，傳承螺陽甘醇風味，台灣代表性伴手禮。
2,西螺鎮,瑞春醬油觀光工廠,台灣黑豆醬油、白醬油禮盒,648雲林縣西螺鎮福田里社口68-31號,120.480123,23.774512,05-5882288,08:30–17:00,"23.774512, 120.480123","手工純釀, 黑豆甕釀, 觀光工廠",堅持陶甕日曝180天純手工釀造，醬香濃郁甘醇。
3,西螺鎮,珍的西螺麻糬大王,原味片沾麻糬、雪Q大福,648雲林縣西螺鎮延平路130號,120.462150,23.800921,05-5883632,09:00–18:00,"23.800921, 120.462150","西螺米, 純糯米麻糬, 傳統甜點",100%純糯米製作，片沾花生糖粉軟Q不黏牙，雲林超人氣排隊甜點。
4,斗六市,大同醬油黑金釀造館,柳丁醬油、台灣老醬油精、壺底油膏,640雲林縣斗六市斗工二路39號,120.578910,23.733150,05-5573636,08:30–17:30,"23.733150, 120.578910","黑金釀造, 創意果香醬油, 觀光工廠",老字號黑金釀造，結合在地雲林柳丁創新風味，榮獲多項伴手禮大獎。
5,斗六市,世唯烘焙坊,狀元餅、原味乳酪蛋糕、鮮奶酥,640雲林縣斗六市民生南路101號,120.540120,23.702145,05-5370717,09:00–21:30,"23.702145, 120.540120","傳統喜餅, 狀元餅, 烘焙伴手禮",雲林在地知名連鎖烘焙名店，狀元餅內餡鹹甜交織，口感細緻紮實。
6,斗六市,三好國際酒店 (三好米),金銀財寶米禮盒、頂級真空包米,640雲林縣斗六市斗六五路35號,120.551890,23.722105,05-5510999,24小時營業,"23.722105, 120.551890","濁水溪米, 精品米禮盒, 地方特色",嚴選台灣在地濁水溪優質米種，米香撲鼻、Q彈飽滿。
7,虎尾鎮,虎珍堂 (菓寮店),虎月燒、憨吉濃濃乳酪蛋糕、地瓜牛軋糖,632雲林縣虎尾鎮中山路167號,120.434850,23.707120,05-6323639,10:00–18:30,"23.707120, 120.434850","地瓜糕點, 虎月燒, 文創甜點",以雲林優質地瓜打造法式質感甜點與排隊散步甜食虎月燒。
8,虎尾鎮,興隆毛巾觀光工廠,珍珠奶茶造型毛巾、蛋糕毛巾禮盒,632雲林縣虎尾鎮福興路84-1號,120.443120,23.719850,05-6321994,08:00–18:00,"23.719850, 120.443120","毛巾文創, 蛋糕毛巾, 台灣製造",全台首創蛋糕毛巾觀光工廠，將傳統紡織轉型為趣味實用文創伴手禮。
9,虎尾鎮,虎尾釀酒醋莊,黑米純釀威士忌、鳳梨釀造醋、米酒,632雲林縣虎尾鎮延平里下南15-6號,120.412850,23.689120,05-6629991,08:30–17:00,"23.689120, 120.412850","在地釀造, 黑米酒, 天然釀造醋",堅持100%在地純糧純天然發酵蒸餾，呈現台灣地酒風土魅力。
10,虎尾鎮,雲林記憶COOL,虎尾糖、在地蔗糖伴手禮、文創品,632雲林縣虎尾鎮林森路一段501號,120.435210,23.706150,05-6327282,09:00–18:00 (週一休),"23.706150, 120.435210","虎尾糖都, 歷史建築, 蔗糖特產",活化原虎尾登記所，推廣在地蔗糖產業與古色古香文創好物。
